Computer Software,Computer Software,Stourbridge,108,http://hrcomputing.co.uk
Computer Software Group,Computer Software,,139,
|Computer Software Associates, Inc.|,Computer Software,|Billings, MT|,30,http://csa-inc.net
FACTS Computer Software House L.L.C.,Computer Software,|Dubai, United Arab Emirates|,58,
Computer Software,Computer Software,Stourbridge,108,http://hrcomputing.co.uk
Computer Software Group,Computer Software,,139,
|Computer Software Associates, Inc.|,Computer Software,|Billings, MT|,30,http://csa-inc.net
FACTS Computer Software House L.L.C.,Computer Software,|Dubai, United Arab Emirates|,58,
Computer Aided Technology,Computer Software,|Buffalo Grove, IL|,169,
Software Catalysts LLC,Computer Software,|Herndon, VA|,33,
Computer-Rx,Computer Software,|Moore, Oklahoma|,110,
Computer Science & Engineering,Computer Software,|University Park, Pennsylvania|,253,
Computer Center,Computer Software,S. Domingos de Rana,132,
Computer Revolution Africa,Computer Software,|Nairobi, Na|,64,
Synopsys Inc,Computer Software,|Mountain View, California|,|13,061|,
The Reynolds and Reynolds Company,Computer Software,|Dayton, OH|,|3,990|,
Bentley Systems,Computer Software,|Exton, PA|,|3,931|,
Riverbed Technology,Computer Software,|San Francisco, California|,|2,820|,
Computer Line Associates,Computer Software,Piacenza,13,
Native Instruments,Computer Software,Berlin,590,
Azar Computer Software Services,Computer Software,|Austin, TX|,16,
Computer Horizon Software Pvt Ltd,Computer Software,|Delhi, Delhi|,employee,
|FileMaker Inc., an Apple subsidiary|,Computer Software,|Santa Clara, CA|,329,
NCH Software,Computer Software,|Greenwood Village, CO|,65,
Intralinks,Computer Software,|New York, New York|,|1,141|,
Amazon Robotics,Computer Software,|North Reading, MA|,|1,287|,
Total Computer Software(India)Pvt.Ltd,Computer Software,,13,
OutSystems,Computer Software,|Atlanta, GA|,|1,018|,
Campaign Monitor,Computer Software,|Nashville, Tennessee|,388,
Leap Motion,Computer Software,|San Francisco, CA|,61,
ChargePoint,Computer Software,|Campbell, CA|,485,
|Engineering Technology Associates, Inc.|,Computer Software,|Troy, MI|,355,
Talkdesk,Computer Software,|San Francisco, CA|,370,
AccessData,Computer Software,|Lindon, Utah|,265,
ITA Software by Google,Computer Software,|Cambridge, MA|,378,http://www.itasoftware.com
Hack Reactor,Computer Software,,312,
Lucid,Computer Software,|South Jordan, Utah|,408,
WorkFusion,Computer Software,|New York, NY|,278,
ESET North America,Computer Software,|San Diego, CA|,157,
Snap-on Business Solutions,Computer Software,|Richfield, OH|,985,
Programmer,Computer Software,|Austin, TX|,755,
Matterport,Computer Software,|Sunnyvale, California|,238,
Systech International,Computer Software,|Princeton, New Jersey|,234,
drive.ai,Computer Software,|Mountain View, CA|,144,
John Keells Computer Services Pvt. Ltd.,Computer Software,|Colombo 02, Western Province|,251,
Cogito Corp,Computer Software,|Boston, Massachusetts|,115,
DP Technology Corp - ESPRIT CAM System,Computer Software,|Camarillo, CA|,196,
Alfalak Electronic Equipment & Supplies Co.,Computer Software,|Al Khobar, Eastern Province|,465,
Harris Computer,Computer Software,|Ottawa, Ontario|,|1,514|,
RxLogix,Computer Software,|Princeton, NJ|,110,
Individual Software,Computer Software,|Livermore, CA|,419,
2020 Inc.,Computer Software,|Laval, Québec|,603,
The AnyLogic Company,Computer Software,|Oakbrook Terrace, IL|,154,
Hexagon Safety & Infrastructure,Computer Software,|Madison, Alabama|,687,
Allegorithmic,Computer Software,Clermont-Ferrand,114,
Any Service Company,Computer Software,|Liberty Hill, TX|,|9,968|,
Toon Boom Animation,Computer Software,|Montreal, QC|,99,
Clarifai,Computer Software,New York,99,
|Group of Computer Networks, Software Engineering and Systems|,Computer Software,,80,
CST - Computer Simulation Technology,Computer Software,|Darmstadt, Hessen|,175,
EBLA Computer Consultancy,Computer Software,|Kuwait , Sharq|,318,
|Vuforia, a PTC Technology|,Computer Software,|Needham, MA|,47,
Foundry,Computer Software,London,456,
AWeber,Computer Software,|Chalfont, PA|,147,
Pix4D,Computer Software,|Lausanne, VD|,154,
|Casenet, LLC|,Computer Software,|Bedford, MA|,287,
London Computer Systems,Computer Software,|Cincinnati, Ohio|,232,
think-cell Software,Computer Software,Berlin,31,
Deitel & Associates,Computer Software,|Sudbury, MA|,5,
|MLC CAD Systems, LLC|,Computer Software,|Austin, Texas|,105,
Wolfram,Computer Software,|Champaign, IL|,596,
Dept of Defense - All Partners Access Network (APAN),Computer Software,|Pearl Harbor, Hawaii|,425,
|Basho Technologies, Inc|,Computer Software,|Bellevue, WA|,20,
Vero Software,Computer Software,|Gloucester, Gloucestershire|,333,
|Integrated Computer Solutions, Inc. (ICS)|,Computer Software,|Waltham, MA|,92,
SCC Soft Computer,Computer Software,|Clearwater, FL|,643,
Jolicloud,Computer Software,Paris,17,http://www.jolicloud.com
SKB Kontur,Computer Software,|Ekaterinburg, Sverdlovskaya oblast|,|1,459|,
Cloudian Inc,Computer Software,|San Mateo, CA|,154,
SpectorSoft,Computer Software,|Vero Beach, FL|,48,
ADD Systems,Computer Software,|Flanders, NJ|,161,
Deep Cognition,Computer Software,|Irving, Texas|,14,
|New World Systems, (now Tyler Technologies|,Computer Software,|Plano, Texas|,213,
BETA CAE Systems,Computer Software,Root D4,214,
|Manhattan Software, A Trimble Company|,Computer Software,|Marlborough, MA|,33,http://realestate.trimble.com
uSens Inc.,Computer Software,|San Jose, CA|,42,
Affectiva,Computer Software,|Boston, MA|,64,
openSUSE Project,Computer Software,Nurnberg,70,http://www.opensuse.org/
Infomedia Ltd,Computer Software,|Belrose, NSW|,237,
Pixologic,Computer Software,,24,
Advanced,Computer Software,|Datchet, Berkshire|,|1,936|,
Intertrust,Computer Software,|Sunnyvale, CA|,230,
Investor Management Services,Computer Software,|Charlotte, NC|,85,
DITTO,Computer Software,|San Francisco, California|,37,http://www.ditto.com
|Red Balloon Security, Inc.|,Computer Software,|New York, NY|,28,
Picis,Computer Software,|Wakefield, Massachusetts|,267,
SimScale GmbH,Computer Software,|München, Deutschland|,75,
Unikaihatsu Software Pvt. Ltd.,Computer Software,|Mumbai, Maharashtra|,125,
Charles River Analytics,Computer Software,|Cambridge, MA|,168,
Portnov Computer School,Computer Software,|Los Altos, California|,34,
ALLPLAN,Computer Software,|Munich, Bavaria|,175,
RT-RK,Computer Software,|Novi Sad, Vojvodina|,897,
ABBYY USA,Computer Software,|Milpitas, CA|,104,
ABBYY USA,Computer Software,|Milpitas, CA|,104,
OMG,Computer Software,|Needham, MA|,563,
CodeNation,Computer Software,,56,
Spillman Technologies,Computer Software,|Salt Lake City, UT|,194,
High Street Partners,Computer Software,|Annapolis, MD|,47,
Elad Software Systems,Computer Software,Tel Aviv,339,
Schneider Electric DMS NS,Computer Software,Novi Sad,660,
CRIS; A Autonomous Society under the Ministry of Indian Railways,Computer Software,|New Delhi, Delhi|,759,http://cris.org.in/
Veriato,Computer Software,|Palm Beach Gardens, FL|,47,
ECGiT PRIVATE LIMITED,Computer Software,|singapore, singapore|,30,
Tact.ai,Computer Software,|Redwood City, California|,101,
ExamSoft,Computer Software,|Delray Beach, FL|,136,
Consist,Computer Software,|Petach Tikva, 49130|,470,
Cambio Software Engineering,Computer Software,Colombo 03,224,
IR,Computer Software,|North Sydney, NSW|,249,
Mobility Work CMMS / GMAO,Computer Software,Paris,60,
Kitware Inc.,Computer Software,|Clifton Park, New York|,120,
EnginSoft,Computer Software,|Trento, TN|,150,
Western Computer,Computer Software,|Oxnard, CA|,102,
MIM Software Inc.,Computer Software,|Cleveland, OH|,126,http://www.mimsoftware.com
Next Limit,Computer Software,|Madrid, Madrid|,67,
MulticoreWare,Computer Software,|San Jose, CA|,179,
Betgenius,Computer Software,London,113,
iOra,Computer Software,|Guildford, Surrey|,30,
Extensis,Computer Software,|Portland, OR|,127,
Mindmill Software Limited,Computer Software,|Noida, UP|,122,
FAAC Incorporated,Computer Software,|Ann Arbor, MI|,151,
Aunalytics,Computer Software,|South Bend, IN|,46,
Sela Group,Computer Software,|Bnei Brak, Israel|,318,
Routematch,Computer Software,|Atlanta, GA|,185,
Zuercher Technologies,Computer Software,|Sioux Falls, SD|,122,
Applitools,Computer Software,|San Mateo, CA|,78,
SQLink Group,Computer Software,Ramat Gan,435,
Metaio,Computer Software,Munich,20,
StatSoft (now part of Quest Software),Computer Software,|Tulsa, Oklahoma|,60,
Faronics Corporation,Computer Software,|Vancouver, British Columbia|,135,
ESSS,Computer Software,|Florianópolis, Santa Catarina|,229,
PayJunction,Computer Software,|Santa Barbara, CA|,236,
Abstracta Inc.,Computer Software,|San Francisco, California|,67,
Abto Software,Computer Software,Lviv,198,
Brain Station 23 Limited,Computer Software,|Dhaka, Dhaka|,196,
FiveAI,Computer Software,|Cambridge, Cambridgeshire|,91,
Allure - A Christie Company,Computer Software,|Atlanta, GA|,54,
IGE+XAO,Computer Software,|COLOMIERS, Haute-Garonne|,276,
DATEV eG,Computer Software,,|1,236|,
ONTRAPORT,Computer Software,|Santa Barbara, California|,129,
Impero Software,Computer Software,Nottinghamshire,108,
InMage Systems,Computer Software,|Redmond, WA|,89,
Liberty Software,Computer Software,|Southlake, TX|,26,
CodiLime,Computer Software,|Menlo Park, California|,122,
VIT Infotech,Computer Software,|Bangalore, Karnataka|,157,http://www.vitinfotech.com
|iolo technologies, LLC|,Computer Software,|Pasadena, CA|,46,
KritiKal Solutions,Computer Software,|Noida, UP|,140,
Qfinsoft (PTY) LTD,Computer Software,|Irene Centurion, Gauteng|,11,
Unlimited Systems,Computer Software,|Cincinnati, OH|,109,
HOVER Inc.,Computer Software,|San Francisco, CA|,139,
|Dhc Software Co., Ltd|,Computer Software,|BEIJING, BJ || Beijing|,|1,113|,http://www.dhcc.com.cn
Claron Technology,Computer Software,|Toronto, Ontario|,21,
Secure Hunter Anti Malware,Computer Software,|Miami, FL|,3,
Shadow-Soft,Computer Software,|Sandy Springs, Georgia|,52,
Image-Line Software,Computer Software,,32,http://www.image-line.com
Rhonda Software,Computer Software,Vladivostok,75,
Best Engineering Aids & Consultancies,Computer Software,|Bangalore, Karnataka|,175,
Voyant,Computer Software,|Austin, TX|,62,
Solid Solutions - SolidWorks Reseller,Computer Software,Leamington Spa,157,
CyberFlow Analytics,Computer Software,|San Diego, CA|,751,
|Soar Technology, Inc.|,Computer Software,|Ann Arbor, Michigan|,135,
Emric AB,Computer Software,Stockholm,155,
|5nine, Inc.|,Computer Software,|West Palm Beach, FL|,57,
Cubic Information Systems,Computer Software,Dubai,12,
3L System Group,Computer Software,|Stockholm, Sweden|,719,http://www.3lsystem.com
iMotions A/S,Computer Software,|Copenhagen, DK|,83,
Counterpoint Systems - a Vistex company,Computer Software,|London, Greater London|,21,
Hitit Computer Services,Computer Software,|Istabul, Sariyer|,188,
Moringa School,Computer Software,,55,
KICS,Computer Software,,192,
Scorpion Computer Services,Computer Software,|Los Angeles, California|,19,
Capricot Technologies Pvt. Ltd.,Computer Software,|New Delhi, Delhi|,287,
Yaoota,Computer Software,Cairo,47,
ICM Software House,Computer Software,Riyadh,139,
Tricerat,Computer Software,|Owings Mills, Maryland|,46,
Cubic Motion,Computer Software,|Manchester, Select State|,76,
|Selerix Systems, Inc|,Computer Software,|McKinney, TX|,76,
Sns System Pvt. Ltd.,Computer Software,|Frisco, TX|,119,
Kairos: Face Recognition,Computer Software,|Miami, Florida|,61,
Montrium,Computer Software,|Montreal, Quebec|,53,
IT Researches,Computer Software,|London, England|,29,
Israel Tech Challenge <itc>,Computer Software,,54,
|Verisurf Software, Inc.|,Computer Software,|Anaheim, CA|,39,
Dignitas Technologies,Computer Software,|Orlando, FL|,100,
MediSolution,Computer Software,|Boisbriand, Québec|,180,
CIBER,Computer Software,|Burbage, LEICS|,|1,660|,
LSTC,Computer Software,|Livermore, ca|,102,
|Faculty of Computer Science, Alexandru Ioan Cuza University of Iasi|,Computer Software,,68,
SOLS,Computer Software,|New York, NY|,59,
Manatron,Computer Software,|Portage, MI|,78,
SEGI,Computer Software,|Liège, Liege|,193,
Synovia Solutions LLC,Computer Software,|Indianapolis, IN|,100,
NI AWR Design Environment,Computer Software,|El Segundo, California|,145,
Luxology,Computer Software,|Redwood City, CA|,9,
LEAP Australia,Computer Software,Clayton,47,
SolidXperts,Computer Software,|St-Laurent, Québec|,103,
|Sensory, Inc.|,Computer Software,|Santa Clara, CA|,63,
Gravity Jack,Computer Software,|Spokane, Washington|,31,
Mathway,Computer Software,|Center Valley, PA|,14,
The Conover Company,Computer Software,|Appleton, WI|,11,
The Conover Company,Computer Software,|Appleton, WI|,11,
Dolbey,Computer Software,|Concord, OH|,84,http://www.dolbey.com
CADFEM UK and Ireland Ltd,Computer Software,|Croydon, Surrey|,23,http://www.cadfemukandireland.com/
Les logiciels INFORMAT inc.,Computer Software,|Verdun, QC|,20,http://www.informat.net
Neurable,Computer Software,|Boston, Massachusetts|,18,http://neurable.com/
Baker Baynes (PTY) Ltd,Computer Software,|Johannesburg, Gauteng|,21,http://www.bakerbaynes.com
Arimo,Computer Software,|Mountain View, California|,33,https://arimo.com
CADD Microsystems,Computer Software,|Alexandria, VA|,52,http://www.caddmicrosystems.com
Yogam BPO,Computer Software,|Chennai, Tamil Nadu|,18,http://yogambpo.in
CADFEM GmbH,Computer Software,Grafing b. München,122,http://www.cadfem.de/
|21st Century Systems, Inc.|,Computer Software,|Omaha, NE|,31,http://www.21csi.com/
Ortho2,Computer Software,|Ames, IA|,34,http://www.ortho2.com
Serif (Europe) Limited,Computer Software,,0,
Floored,Computer Software,|New York, New York|,37,http://www.floored.com
CCE,Computer Software,Oosterzele,322,http://www.cce.be
|GlobalSim, Inc.|,Computer Software,|Sandy, UT|,23,http://globalsim.com
|PC-Doctor, Inc.|,Computer Software,|Reno, NV|,77,http://www.pc-doctor.com
42 Silicon Valley,Computer Software,,75,http://www.42.us.org
TeamF1 Networks,Computer Software,|Fremont, California|,97,http://www.teamf1networks.com
Chemical Computing Group,Computer Software,|Montreal, QC|,50,http://www.chemcomp.com
UniSoft,Computer Software,Giza,45,http://www.unisoft-int.com
STI Computer Services,Computer Software,|Eagleville, PA|,134,http://sticomputer.com/
|Applied Research Works, Inc. - Cozeva|,Computer Software,|Palo Alto, California|,74,http://www.cozeva.com
FSI (FM Solutions) Limited,Computer Software,|Upminster, Essex|,118,http://www.fsifm.com
LMS Samtech Samcef,Computer Software,Angleur,101,http://www.plm.automation.siemens.com/en_us/products/lms/samtech
CentralBOS,Computer Software,|Boca Raton, Florida|,26,http://www.cbos.com
Configura,Computer Software,|Linköping, 581 02|,115,http://www.configura.com
Nexsus Techno Solutions,Computer Software,|Mumbai, Maharashtra|,198,http://www.nexsussolutions.com
Tecgraf / PUC-Rio,Computer Software,|Rio de Janeiro, RJ|,293,http://www.tecgraf.puc-rio.br/
|Engrain, Inc|,Computer Software,|Greenwood Village, CO|,52,http://www.engrain.com
DWA NOVA,Computer Software,|Burbank, California|,12,http://www.novavisual.com
OpCord,Computer Software,|Bangalore, Karnataka|,47,http://opcord.com
|Nihon Unisys, Ltd.|,Computer Software,,271,http://www.unisys.co.jp/
Amada Soft India,Computer Software,|Chennai, Tamilnadu|,81,http://www.amadasoft.co.in
Norvax,Computer Software,|Chicago, IL|,33,http://www.norvax.com
Avametric,Computer Software,|San Francisco, CA|,25,http://www.avametric.com
|Southern Software, Inc.|,Computer Software,,84,http://www.southernsoftware.com
DOEACC,Computer Software,,211,http://www.doeacc.edu.in
Hummingbird Technologies Ltd,Computer Software,|London, England|,35,http://www.hummingbirdtech.com
Zeta Associates,Computer Software,,206,
Occipital,Computer Software,,57,http://occipital.com/
DOEACC,Computer Software,,211,http://www.doeacc.edu.in
Hummingbird Technologies Ltd,Computer Software,|London, England|,35,http://www.hummingbirdtech.com
Zeta Associates,Computer Software,,206,
Occipital,Computer Software,,57,http://occipital.com/
Information Technology and Services Co. (ITSC),Information Technology and Services,Cairo,105,http://www.itscegypt.com
|Computer Software, Inc. (CSI)|,Information Technology and Services,|Chalfont, PA|,17,http://www.computersoftwareinc.com
|Computer Software Development, Inc.|,Information Technology and Services,|Center Point, IA|,19,http://www.comsoftdev.com
CCS Construction Computer Software (Pty) Ltd,Information Technology and Services,|Centurion, Gauteng|,119,http://www.constructioncomputersoftware.com
